ax,ay,az
-3252,-240,5932
-3158,-140,6008
-3122,74,6064
-2996,92,6324
-2810,44,6232
-2968,96,6088
-2974,22,5968
-3174,70,6056
-2918,198,6176
-2864,162,6046
-2976,150,6160
-2928,14,5986
-2868,68,6008
-2792,202,6086
-2858,178,6182
-2856,178,6132
-2910,168,6184
-2916,96,6168
-2884,208,6122
-2804,140,6236
-2782,204,6254
-2610,196,6376
-2484,226,6354
-2634,260,6340
-2718,214,6340
-2764,214,6404
-2662,320,6698
-2380,222,6646
-2382,88,6570
-2510,166,6480
-2458,290,6576
-2244,298,6562
-2064,186,6430
-2028,202,6568
-1886,128,6416
-1838,188,6550
-1758,190,6598
-1900,312,6934
-1602,194,6716
-1702,274,6792
-1556,260,6764
-1380,152,6658
-1344,286,6704
-1478,348,6700
-1186,142,6612
-1370,360,6852
-1018,242,7032
-864,22,7020
-804,178,7176
-790,346,7144
-178,256,7230
-60,298,7426
48,338,7846
500,156,7210
566,98,7178
784,262,7018
1028,176,6890
1228,-148,6630
1292,672,6506
1704,386,6310
1790,-6,5528
2014,338,4552
2544,470,2560
1992,-452,-340
744,50,-1448
-400,1264,-372
2870,-3076,1632
6718,90,32767
3738,1916,21124
1034,-776,10912
566,270,6634
544,-40,4986
3164,-148,4724
4066,-352,5754
4212,-526,5868
3090,-880,6436
2810,-534,7038
2764,-568,7420
2952,-586,7266
3300,-820,6458
3144,-792,6520
2950,-738,6920
2600,-658,6910
2288,-612,7134
2330,-204,6316
2226,-144,6572
1930,-452,7076
1376,-708,7134
724,-550,6938
760,-520,7234
788,-556,7060
718,-488,6744
548,-554,6768
194,-462,6782
-106,-458,6838
-58,-524,6580
78,-320,6822
184,-302,6434
154,-226,6508
-24,-268,6618
-150,-246,6678
-224,-204,6612
-202,-156,6574
-144,-254,6816
-162,-300,6918
-316,-254,6936
-486,-198,7082
-542,-306,7058
-498,-174,6996
-456,-304,7114
-460,-282,7086
-474,-208,6938
-592,-186,6990
-452,-248,6900
-392,-202,6976
-326,-232,7004
-488,-244,6910
-530,-286,6724
-408,-164,6826
-416,-196,6744
-486,-148,6892
-564,-184,6810
-364,-234,6840
-364,-200,6900
-470,-186,6886
-448,-190,6820
-464,-232,6864
-374,-204,6760
-424,-220,6864
-284,-232,6994
-308,-256,7060
-356,-240,7226
-388,-220,7354
-296,-204,7396
-376,-272,7262
-482,-218,7090
-498,-190,6884
-346,-136,6800
-20,-130,6494
-138,-196,6008
-402,118,5924
-362,138,5430
-26,366,4878
402,534,4246
608,450,3578
466,458,2388
594,4,1740
-224,-666,1340
-308,-1716,3754
6590,6916,27774
706,-1890,12690
614,-848,7792
-730,776,9174
-458,796,8794
